ID,Section,Targets,Context,Valid,Prompt Type,Notes,UI Behavior,Message
S1,Name target,N(A) empty,none,TRUE,P1 - Name by difficulty,Only difficulty is available as a signal. Minimal but valid.,,
S2,Name target,N(A) empty,T(A) filled (1-4 tiles),TRUE,P2 - Name for known tiles,Same-cat tiles are the ideal context for naming — they define what the category contains.,,
S3,Name target,N(A) empty,T(B) filled,FALSE,,Cross-cat context has nothing to contribute to a name suggestion when no tile target is present.,Suggest button disabled.,"A category name can only use tiles from the same category."
S4,Name target,N(A) empty,T(A) filled + T(B) filled,SWITCH to S2 on submit attempt,,Cross-cat context has nothing to contribute since there is no tile target. Drop T(B) on submit and keep same-cat context. Proceed as S2.,"Auto-deselect T(B) on submit, shake animation on deselected fields.","Removed [Cat B] tiles — category names can only use tiles from the same category."
S5,Name target,N(A) empty,N(B) filled,SWITCH to S1 on selection,,Only one name can be selected at a time. Selecting any name always deselects the previous one.,"Radio behavior: selecting any name deselects the previous. Brief visual flash on deselected name.","Only one category name can be selected at a time."
S6,Tile targets same cat,T(A) empty (1-4),none,"SWITCH to S20 on submit if N(A) empty, else TRUE",P3 - Tile(s) for category,No context at all. If the category name is also empty escalate to S20 — one submission is better than two.,"If N(A) is empty, visibly snap N(A) into selected state before submitting.","Your category name will also be suggested."
S7,Tile targets same cat,T(A) empty (1-3),T(A) filled,"SWITCH to S21 on submit if N(A) empty, else TRUE",P3 - Tile(s) for category,Same-cat filled tiles provide context. If the category name is also empty escalate to S21 — suggest everything in one go.,"If N(A) is empty, visibly snap N(A) into selected state before submitting.","Your category name will also be suggested."
S8,Tile targets same cat,T(A) empty (1-4),N(A) filled,TRUE,P3 - Tile(s) for category,Category name is filled so it serves as context not a target.,,
S9,Tile targets same cat,T(A) empty (1-3),T(A) filled + N(A) filled,TRUE,P3 - Tile(s) for category,Richest possible same-cat context — all available signals for this category are present.,,
S10,Tile targets same cat,T(A) empty (1-4),T(B) filled,TRUE,P4 - Red herring,Cross-cat tiles are valid because tile targets are present. Used as red herring seeds.,,
S11,Tile targets same cat,T(A) empty (1-4),N(B) filled,TRUE,P4 - Red herring,Cross-cat name is valid because tile targets are present. The category name suggests a theme to play against.,,
S12,Tile targets same cat,T(A) empty (1-4),T(B) filled + N(B) filled,TRUE,P4 - Red herring,Richest single red herring context — both the theme name and example tiles from another category.,,
S13,Tile targets same cat,T(A) empty (1-3),T(A) filled + T(B) filled,TRUE,P4 - Red herring,Same-cat tiles anchor the suggestion to the right category; cross-cat tiles seed the red herring.,,
S14,Tile targets same cat,T(A) empty (1-4),T(B) filled + T(C) filled,TRUE,P4 - Red herring,Multiple cross-cat contexts. AI should find a tile that could plausibly belong to more than one other category.,,
S15,Tile targets across cats,T(A) empty + T(B) empty,none,TRUE,P5 - Mutual red herrings,No context. AI must suggest tiles that could be confused for each other with no other signals.,,
S16,Tile targets across cats,T(A) empty + T(B) empty,T(A) filled + T(B) filled,TRUE,P5 - Mutual red herrings,Each target has same-cat context. AI can anchor mutual red herrings to each category's existing content.,,
S17,Tile targets across cats,T(A) empty + T(B) empty,N(A) filled + N(B) filled,TRUE,P5 - Mutual red herrings,Category names provide thematic anchors. AI knows what each category is about when choosing red herrings.,,
S18,Tile targets across cats,T(A) empty + T(B) empty,T(C) filled,TRUE,P5 - Mutual red herrings,Third-category tiles add a third axis of confusion — AI should find tiles that could plausibly belong to any of the three.,,
S19,Tile targets across cats,T(A) empty + T(B) empty + T(C) empty,anything,TRUE,P5 - Mutual red herrings,Maximum mutual red herring complexity across three categories.,,
S20,Mixed name + tile targets,N(A) empty + T(A) empty (1-4),none,TRUE,P6 - Co-suggest name and tiles,No context available. AI suggests both the category name and tiles guided by difficulty only.,,
S21,Mixed name + tile targets,N(A) empty + T(A) empty (1-3),T(A) filled,TRUE,P6 - Co-suggest name and tiles,Filled tiles provide context for both the name suggestion and the empty tile targets.,,
S22,Mixed name + tile targets,N(A) empty + T(A) empty (1-4),T(B) filled,TRUE,P6 variant - Co-suggest name and tile with red herring context,"Cross-cat context is valid because tile targets are present. T(B) informs tile targets as red herrings; name suggestion uses same-cat context only.",,
S23,Mixed name + tile targets,N(A) empty + T(B) empty,anything,FALSE,,Targets span two different categories with no logical relationship. A name for cat A and a tile for cat B cannot be meaningfully suggested together.,Suggest button disabled.,"A category name and tiles from different categories can't be suggested together — select one or the other."
